station,count,term
Fox,794,biden
Fox,825,russia
Fox,285,new
Fox,283,war
Fox,240,china
Fox,184,putin
Fox,180,house
Fox,168,gop
Fox,160,president
Fox,142,hunter
Fox,140,trump
Fox,135,israel
Fox,128,report
Fox,123,military
Fox,113,fox
Fox,87,aid
Fox,82,border
Fox,81,american
Fox,71,attack
Fox,67,nato
Fox,66,warn
Fox,66,zelenskyy
Fox,64,official
Fox,62,claim
Fox,55,republican
Fox,55,time
Fox,52,security
Fox,48,support
Fox,46,plan
Fox,45,un
Fox,40,nuclear
Fox,39,white
Fox,38,defense
Fox,37,visit
Fox,37,wagner
Fox,34,country
Fox,33,deal
Fox,33,minister
Fox,32,foreign
Fox,32,hamas
Fox,32,world
Fox,30,leader
Fox,29,policy
Fox,27,weapon
Fox,25,threat
Fox,24,joe
Fox,23,drone
Fox,23,former
Fox,23,government
Fox,23,pentagon
Fox,21,national
Fox,17,missile
Fox,16,group
Fox,16,north
Fox,16,xi
Fox,15,back
Fox,15,congress
Fox,15,day
Fox,15,senate
Fox,15,send
Fox,14,force
Fox,13,bill
Fox,12,down
Fox,12,iran
Fox,12,sanction
Fox,11,america
Fox,11,arrest
Fox,11,crisis
Fox,11,lawmaker
Fox,11,media
Fox,11,meeting
Fox,11,south
Fox,10,ally
Fox,10,concern
Fox,10,desantis
Fox,10,east
Fox,10,european
Fox,10,funding
Fox,10,johnson
Fox,10,meet
Fox,10,sending
Fox,10,spending
CNN,965,russia
CNN,343,new
CNN,245,war
CNN,225,biden
CNN,162,video
CNN,164,putin
CNN,100,china
CNN,82,trump
CNN,76,cnn
CNN,75,wagner
CNN,73,march
CNN,72,house
CNN,59,january
CNN,54,zelensky
CNN,48,official
CNN,44,attack
CNN,42,february
CNN,34,gop
CNN,34,here
CNN,31,missile
CNN,29,military
CNN,28,defense
CNN,26,opinion
CNN,21,leader
CNN,21,strike
CNN,20,israel
CNN,18,nato
CNN,17,president
CNN,15,chief
CNN,14,drone
CNN,13,world
CNN,12,april
CNN,12,visit
CNN,11,down
CNN,11,support
CNN,11,watch
CNN,10,document
CNN,10,force
CNN,10,key
CNN,10,turkey
CNN,10,weapon