state,mentions,quartile
Alabama,0.021774723,Q2
Alaska,0.009591538,Q1
Arizona,0.016314421,Q2
Arkansas,0.033087114,Q3
California,0.033321718,Q4
Colorado,0.026072706,Q3
Connecticut,0.009569821,Q1
Delaware,0.017093054,Q2
Florida,0.029703404,Q3
Georgia,0.025484296,Q3
Hawaii,0.026183749,Q3
Idaho,0.039825225,Q4
Illinois,0.023132968,Q2
Indiana,0.040120218,Q4
Iowa,0.069020653,Q4
Kansas,0.005131034,Q1
Kentucky,0.069234766,Q4
Louisiana,0.014059863,Q1
Maine,0.028834449,Q3
Maryland,0.06818582,Q4
Massachusetts,0.019156191,Q2
Michigan,0.030563125,Q3
Minnesota,0.034795038,Q4
Mississippi,0.028907232,Q3
Missouri,0.023304212,Q2
Montana,0.015117428,Q1
Nebraska,0.026819106,Q3
Nevada,0.01134629,Q1
New Hampshire,0.076442776,Q4
New Jersey,0.004468143,Q1
New Mexico,0.014233747,Q1
New York,0.030958916,Q3
North Carolina,0.016086258,Q2
North Dakota,0.013029431,Q1
Ohio,0.022460769,Q2
Oklahoma,0.018459886,Q2
Oregon,0.045908462,Q4
Pennsylvania,0.019845941,Q2
Rhode Island,0.008822803,Q1
South Carolina,0.012376729,Q1
South Dakota,0.019252749,Q2
Tennessee,0.016887917,Q2
Texas,0.024177527,Q3
Utah,0.011282347,Q1
Vermont,0.024606053,Q3
Virginia,0.042491991,Q4
Washington,0.045592873,Q4
West Virginia,0.08714046,Q4
Wisconsin,0.078615825,Q4
Wyoming,0.011974098,Q1